utility_name,size_category,fy,indicator,value,unit,granularity,method,source_id,report_issue,vintage,extraction_confidence,attribution
Nyeri,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,15,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,water_coverage,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,24,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,4,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,108,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,49,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,108,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nyeri,"Very Large (>35,000 connections)",FY2023/24,total_score,168,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,26,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,water_coverage,92,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,21,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,3,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,94,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,27,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,102,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nakuru Urban,"Very Large (>35,000 connections)",FY2023/24,total_score,167,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,36,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,water_coverage,92,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,21,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,5,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,95,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,34,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,118,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Thika,"Very Large (>35,000 connections)",FY2023/24,total_score,151,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
